-1, 0.19847, -0.923209, -0.958069, -0.781247, -0.794523
-1, 0.421689, -0.889788, -0.940003, -0.475923, -0.728957
-1, 0.433715, -0.921169, -0.954809, -0.558963, -0.82953
-1, 0.542385, -0.926472, -0.959947, -0.653751, -0.767251
1, 0.324559, -0.883183, -0.920416, -0.549775, -0.756138
-1, 0.339554, -0.897501, -0.953133, -0.574831, -0.772235
1, 0.353223, -0.886373, -0.913928, -0.482673, -0.685964
-1, 0.175743, -0.89961, -0.957399, -0.479272, -0.706636
-1, 0.529932, -0.917557, -0.956142, -0.509211, -0.614158
-1, 0.339935, -0.904683, -0.924997, -0.605197, -0.705845
-1, 0.281396, -0.914564, -0.953398, -0.545676, -0.683524
-1, 0.447817, -0.836096, -0.844868, -0.42626, -0.699052
-1, 0.459538, -0.927813, -0.955105, -0.601135, -0.747845
1, 0.276169, -0.887565, -0.900038, -0.597959, -0.705185
-1, 0.488879, -0.888167, -0.916229, -0.34749, -0.782626
1, 0.36484, -0.841079, -0.874455, -0.600552, -0.741555
-1, 0.572532, -0.919466, -0.965319, -0.494436, -0.738437
1, 0.321403, -0.881952, -0.906938, -0.404964, -0.607504
-1, 0.490242, -0.908555, -0.953254, -0.631771, -0.683284
-1, 0.264627, -0.8809, -0.931486, -0.33565, -0.679359
1, 0.445941, -0.897027, -0.923989, -0.408984, -0.632206
-1, 0.353985, -0.882257, -0.93825, -0.269849, -0.718862
-1, 0.522324, -0.8684, -0.92844, -0.0809253, -0.648632
-1, 0.0820498, -0.856775, -0.91425, -0.261703, -0.557491
-1, 0.559203, -0.909004, -0.954118, -0.574407, -0.702692
-1, 0.267824, -0.921384, -0.965025, -0.566226, -0.516079
-1, 0.389133, -0.90142, -0.920137, -0.597441, -0.753183
1, 0.432284, -0.917269, -0.942179, -0.788252, -0.83388
-1, 0.440922, -0.935466, -0.972048, -0.809551, -0.865829
-1, 0.237766, -0.929192, -0.963237, -0.837202, -0.891322
1, 0.521493, -0.903742, -0.921591, -0.473506, -0.686751
1, 0.38389, -0.900636, -0.926784, -0.538125, -0.751323
1, 0.398078, -0.908654, -0.921223, -0.657558, -0.773789
-1, 0.547613, -0.880275, -0.933635, -0.0760066, -0.531182
-1, 0.440698, -0.853486, -0.905889, -0.182663, -0.698398
-1, 0.511749, -0.899504, -0.931223, -0.659923, -0.643805
